;﻿M;0.455;0.365;0.095;0.514;0.2245;0.101;0.15;15
obj2-obj1282;0;0;1;1;0;0;1;0;1
obj8-obj947;1;1;1;1;0;0;0;0;1
obj11-obj135;0;0;0;0;1;0;1;0;0
obj11-obj2258;1;1;0;0;1;0;0;1;0
obj27-obj2225;1;1;0;0;0;1;0;1;0
obj30-obj426;0;0;0;1;0;1;0;1;0
obj44-obj1057;1;0;0;0;0;0;1;1;1
obj58-obj1211;1;1;0;1;0;0;1;0;1
obj58-obj2036;1;0;1;1;1;0;0;1;0
obj59-obj1103;1;1;0;1;0;1;0;0;1
obj61-obj419;1;0;0;0;1;0;1;0;0
obj98-obj633;0;1;0;1;1;0;0;1;0
obj107-obj1105;1;0;1;1;0;1;0;0;0
obj112-obj1077;1;0;1;0;0;0;1;1;0
obj119-obj2729;0;1;1;0;0;1;0;1;0
obj125-obj1993;1;0;0;1;0;0;1;1;0
obj134-obj715;1;0;1;1;0;0;1;0;1
obj136-obj248;0;1;0;0;1;1;0;0;1
obj145-obj774;0;1;1;0;0;1;0;0;1
obj216-obj2050;1;1;1;1;0;0;0;1;1
obj245-obj565;0;1;0;0;0;1;0;1;1
obj267-obj601;0;0;0;1;0;1;1;0;0
obj269-obj2349;1;1;1;0;0;1;0;0;0
obj285-obj2441;0;0;1;1;1;0;0;0;1
obj296-obj646;0;0;0;1;0;1;0;1;1
obj305-obj2458;1;1;1;0;0;1;0;1;1
obj323-obj2627;1;0;1;1;1;0;0;0;1
obj325-obj1551;1;0;0;1;0;0;1;1;1
obj367-obj2303;1;1;1;1;0;0;0;1;0
obj403-obj1859;0;1;1;0;0;0;1;0;1
obj423-obj716;1;1;0;1;0;1;0;1;1
obj424-obj2427;0;1;0;0;0;0;1;1;1
obj460-obj2166;0;1;0;0;0;1;1;0;0
obj462-obj2342;1;0;1;1;0;0;1;1;1
obj501-obj502;1;1;0;1;0;1;0;0;0
obj515-obj2198;0;1;0;1;0;0;1;1;1
obj520-obj2172;0;0;1;0;1;0;0;1;0
obj522-obj1831;1;1;0;0;0;0;1;1;0
obj526-obj720;0;0;1;0;0;1;0;1;1
obj679-obj2468;1;1;1;0;0;1;0;0;1
obj681-obj2215;0;0;0;1;1;0;0;1;1
obj693-obj2103;1;0;1;0;0;1;0;1;1
obj694-obj720;1;0;1;0;0;1;0;1;0
obj710-obj1996;1;1;1;0;0;0;1;0;1
obj714-obj2131;1;0;0;1;0;1;1;0;0
obj813-obj3085;1;1;1;1;0;0;1;0;0
obj849-obj1363;1;0;1;1;0;1;0;0;1
obj895-obj896;1;1;0;0;1;0;1;0;0
obj918-obj2287;0;0;1;0;0;0;1;1;1
obj925-obj2736;1;1;0;0;1;0;0;1;1
obj1059-obj1212;1;1;0;1;1;0;0;1;1
obj1124-obj1473;1;1;1;0;1;0;0;0;1
obj1184-obj1733;0;1;1;0;1;0;0;0;1
obj1228-obj2002;1;1;1;1;1;0;0;0;0
obj1266-obj2144;0;0;1;1;0;1;0;0;1
obj1375-obj2684;1;0;0;1;1;1;0;0;0
obj1430-obj3083;1;0;0;0;1;1;0;0;1
obj1440-obj2094;1;1;0;1;1;0;0;0;1
obj1477-obj2587;0;1;1;1;0;1;0;0;0
obj1485-obj3048;0;1;0;1;0;1;0;0;1
obj1847-obj2515;0;1;1;1;0;0;0;1;1
obj1989-obj1993;1;0;1;0;1;0;0;1;1
obj1990-obj2447;1;0;0;0;0;1;1;1;0
obj3132-obj3132;1;1;1;1;1;1;1;1;1
