;﻿M;0.455;0.365;0.095;0.514;0.2245;0.101;0.15;15
obj1-obj227;0;0;0;0;0;0;1;1;1
obj1-obj609;1;1;1;1;0;0;0;0;0
obj4-obj227;1;0;0;0;1;0;0;0;1
obj8-obj220;0;0;0;1;0;0;1;0;1
obj8-obj947;1;1;1;1;0;0;0;0;1
obj11-obj135;0;0;0;0;1;0;1;0;0
obj14-obj564;1;1;1;0;0;0;0;1;0
obj17-obj808;1;1;1;0;0;0;0;1;1
obj27-obj766;0;1;1;0;0;0;1;0;0
obj30-obj426;0;0;0;1;0;1;0;1;0
obj37-obj934;0;1;1;1;0;0;0;0;1
obj43-obj44;1;0;1;0;1;0;0;0;0
obj46-obj945;1;1;0;1;0;0;0;1;0
obj53-obj532;0;1;0;1;0;0;1;0;0
obj61-obj419;1;0;0;0;1;0;1;0;0
obj64-obj65;1;0;0;1;0;1;0;0;1
obj78-obj442;1;0;1;1;0;0;0;1;0
obj91-obj398;1;0;1;1;0;0;0;1;1
obj98-obj633;0;1;0;1;1;0;0;1;0
obj103-obj972;0;0;1;1;1;0;0;0;0
obj107-obj729;1;0;1;0;0;1;0;0;0
obj109-obj444;1;0;0;1;1;0;0;0;0
obj113-obj131;0;0;1;0;0;0;1;0;1
obj126-obj393;1;0;0;0;0;1;1;0;0
obj134-obj715;1;0;1;1;0;0;1;0;1
obj136-obj248;0;1;0;0;1;1;0;0;1
obj145-obj774;0;1;1;0;0;1;0;0;1
obj177-obj904;1;1;0;0;0;1;0;0;1
obj197-obj479;1;0;0;1;0;0;1;0;1
obj200-obj404;0;0;1;1;0;1;0;0;0
obj225-obj532;0;0;1;0;0;0;1;1;0
obj243-obj900;1;1;0;1;0;0;1;0;0
obj245-obj565;0;1;0;0;0;1;0;1;1
obj248-obj545;0;0;1;1;0;0;1;0;0
obj251-obj380;1;0;1;1;0;0;1;0;0
obj267-obj601;0;0;0;1;0;1;1;0;0
obj293-obj432;0;1;1;0;0;1;0;0;0
obj296-obj646;0;0;0;1;0;1;0;1;1
obj313-obj501;1;1;0;0;0;0;1;0;1
obj317-obj662;0;0;0;0;1;0;0;1;1
obj319-obj643;0;1;1;1;0;0;0;1;0
obj327-obj684;1;1;1;0;0;0;1;0;0
obj331-obj805;0;0;0;1;1;0;0;1;0
obj333-obj893;1;0;1;0;1;0;0;0;1
obj361-obj789;1;0;1;0;0;0;1;0;1
obj386-obj781;1;0;0;0;0;0;1;1;1
obj388-obj840;1;1;0;1;1;0;0;0;0
obj391-obj392;0;0;1;1;0;0;0;1;1
obj423-obj716;1;1;0;1;0;1;0;1;1
obj434-obj943;1;0;1;0;0;0;1;1;0
obj501-obj502;1;1;0;1;0;1;0;0;0
obj519-obj606;0;1;0;1;0;1;0;0;0
obj526-obj720;0;0;1;0;0;1;0;1;1
obj694-obj720;1;0;1;0;0;1;0;1;0
obj895-obj896;1;1;0;0;1;0;1;0;0
obj1044-obj1044;1;1;1;1;1;1;1;1;1
