;voter_id;voter_reg_num;name_prefix;first_name;middle_name;last_name;name_suffix;age;gender;race;ethnic;street_address;city;state;zip_code;full_phone_num;birth_place;register_date;download_month
obj3-obj71;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;0;1;0;1;
obj3-obj685;0;0;0;1;1;0;0;0;1;1;1;0;0;1;0;0;1;0;0;
obj16-obj548;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;
obj18-obj58;0;1;0;0;0;0;1;1;1;1;1;0;0;1;0;0;1;0;1;
obj18-obj279;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;0;0;1;
obj21-obj22;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;1;1;
obj28-obj82;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1;0;1;
obj28-obj210;0;0;0;0;1;0;0;1;1;1;1;0;0;1;0;0;1;0;0;
obj30-obj76;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;
obj43-obj82;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;1;
obj58-obj192;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;1;
obj58-obj284;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;
obj69-obj73;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;1;1;
obj74-obj337;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;
obj76-obj136;0;1;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;1;
obj76-obj163;0;0;0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;1;
obj76-obj654;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;0;1;0;1;
obj82-obj565;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0;1;
obj82-obj737;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;1;0;1;
obj86-obj87;0;1;0;0;0;1;0;0;0;1;1;0;1;1;1;1;1;1;1;
obj92-obj94;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;1;
obj103-obj247;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;0;1;
obj103-obj350;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0;0;1;0;1;
obj113-obj446;0;0;0;1;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;
obj132-obj133;1;1;0;1;0;1;0;1;1;1;1;0;1;1;1;0;1;1;0;
obj134-obj142;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;
obj148-obj149;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;1;1;1;
obj150-obj153;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;0;0;1;1;
obj154-obj436;0;1;0;1;0;0;0;1;1;1;1;0;0;1;0;0;1;0;1;
obj156-obj284;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;1;
obj157-obj507;0;0;0;1;0;1;0;0;1;1;1;0;0;1;0;0;0;0;1;
obj158-obj244;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;
obj169-obj227;0;1;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;0;1;
obj172-obj211;0;1;0;0;0;1;0;0;1;1;1;0;1;1;1;0;1;0;1;
obj188-obj308;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;1;
obj189-obj410;0;1;0;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;1;
obj200-obj376;0;1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;0;1;
obj204-obj264;0;1;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;1;
obj204-obj332;0;1;0;0;1;0;0;0;1;1;1;0;1;1;1;0;1;0;1;
obj225-obj278;0;0;0;0;0;1;0;1;0;1;1;0;1;1;1;0;1;0;0;
obj239-obj262;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;
obj246-obj247;0;0;0;0;0;1;0;1;1;1;1;0;0;1;0;0;0;1;0;
obj246-obj249;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;0;
obj246-obj718;0;1;0;0;1;0;0;0;1;0;1;0;1;1;1;0;0;0;1;
obj247-obj248;0;1;0;0;1;0;0;0;1;1;1;0;1;1;1;0;0;1;1;
obj247-obj450;0;1;0;0;0;1;0;0;1;1;1;0;1;1;1;0;0;0;1;
obj264-obj267;0;1;0;1;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;
obj270-obj411;0;0;0;1;1;0;0;0;1;1;1;0;1;1;1;0;0;0;1;
obj284-obj290;0;1;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;1;
obj289-obj421;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;1;
obj308-obj309;0;0;0;1;0;1;0;0;1;1;1;0;1;1;0;0;1;1;0;
obj319-obj331;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;0;1;1;1;
obj330-obj504;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;1;0;1;
obj340-obj582;0;0;0;1;0;0;0;1;1;1;1;0;0;1;0;1;1;0;0;
obj345-obj355;0;0;0;0;0;1;0;0;1;1;1;0;1;1;1;0;0;1;0;
obj346-obj592;0;0;0;0;1;1;0;0;1;1;1;0;0;1;0;0;1;0;1;
obj348-obj361;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;1;1;
obj350-obj360;0;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;1;1;
obj355-obj356;0;1;0;0;0;1;0;0;1;1;1;0;1;1;1;0;1;1;1;
obj356-obj667;0;1;0;1;0;0;0;1;1;1;1;0;1;1;1;0;0;0;1;
obj365-obj400;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1;
obj365-obj732;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;1;1;0;1;
obj365-obj734;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;1;0;1;
obj376-obj447;0;1;0;0;0;1;0;1;0;1;1;0;1;1;1;0;1;0;1;
obj378-obj499;0;1;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;
obj382-obj509;0;0;0;0;0;1;0;1;1;1;1;0;0;1;0;0;1;0;1;
obj384-obj432;0;0;1;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;1;
obj384-obj564;0;0;1;1;0;0;0;1;1;1;1;0;1;1;1;0;1;0;1;
obj384-obj688;0;0;0;1;0;0;0;1;0;1;1;0;1;1;0;0;1;0;1;
obj384-obj710;0;0;1;0;1;0;0;1;1;1;1;0;1;1;0;0;1;0;1;
obj388-obj422;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;1;1;0;0;
obj400-obj422;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;
obj401-obj402;0;0;0;0;0;1;0;0;1;1;1;0;1;1;1;0;1;1;1;
obj403-obj693;0;0;0;0;1;0;0;1;0;1;1;0;1;1;0;0;1;0;1;
obj405-obj415;0;0;0;1;0;0;0;1;1;1;1;0;0;1;0;0;1;1;1;
obj414-obj594;0;0;0;0;1;0;0;1;1;1;1;0;1;1;0;0;0;0;1;
obj417-obj427;0;0;0;0;0;1;0;1;1;1;1;0;0;1;0;0;1;1;1;
obj417-obj456;0;0;0;1;0;1;0;0;1;1;1;0;0;1;0;0;0;1;0;
obj417-obj608;0;1;0;0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;1;
obj418-obj421;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;0;1;1;1;
obj418-obj464;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;1;1;0;
obj421-obj685;0;0;0;1;0;0;1;0;1;1;1;0;0;1;0;0;1;0;1;
obj432-obj494;0;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;1;
obj432-obj617;0;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;
obj432-obj691;0;0;1;0;1;0;0;0;1;1;1;0;0;1;0;0;1;0;1;
obj434-obj439;0;1;0;0;0;0;0;1;0;1;1;0;1;1;1;0;1;1;1;
obj435-obj579;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;0;1;
obj436-obj466;0;1;0;1;0;0;0;1;1;1;1;0;0;1;0;0;1;1;1;
obj437-obj441;0;1;0;0;0;0;1;0;1;1;1;0;0;1;0;0;1;1;1;
obj439-obj451;0;1;0;0;0;1;0;0;0;1;1;1;1;1;1;0;1;1;1;
obj441-obj469;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1;
obj443-obj453;0;1;0;1;0;0;0;1;1;1;1;0;0;1;0;0;0;1;1;
obj443-obj525;0;0;0;1;0;0;0;1;1;1;1;0;1;1;0;0;1;0;0;
obj446-obj454;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;0;0;1;1;
obj447-obj456;0;1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;1;1;
obj447-obj501;0;1;0;0;0;0;0;1;1;0;1;0;1;1;1;0;1;0;1;
obj450-obj469;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;
obj451-obj467;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;
obj458-obj506;0;0;0;1;0;0;0;0;1;1;1;0;1;1;1;0;1;0;1;
obj462-obj548;0;1;0;0;0;0;0;1;1;1;0;0;1;1;1;0;1;0;1;
obj464-obj658;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1;
obj467-obj507;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;1;
obj469-obj472;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;1;1;
obj469-obj542;0;1;0;1;0;0;0;0;1;1;1;0;1;1;0;0;1;0;1;
obj470-obj476;0;1;0;0;0;1;0;0;1;1;1;0;0;1;0;0;1;1;1;
obj478-obj480;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;0;0;1;0;
obj482-obj524;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;1;0;1;
obj482-obj624;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;0;0;
obj485-obj499;0;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;
obj504-obj623;0;0;0;1;1;0;0;0;1;1;1;0;0;1;0;0;1;0;1;
obj507-obj548;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;1;0;1;
obj513-obj518;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;1;1;
obj522-obj672;0;0;0;1;0;0;0;0;1;1;0;0;1;1;1;0;1;0;0;
obj525-obj734;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0;1;0;1;
obj533-obj536;0;1;0;0;0;0;0;1;1;1;1;0;0;1;0;1;1;1;1;
obj538-obj548;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;1;
obj542-obj586;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;0;1;0;1;
obj548-obj552;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;1;1;
obj552-obj554;0;1;0;1;0;0;0;0;1;1;1;0;1;1;0;0;1;1;1;
obj557-obj576;0;0;0;0;1;0;0;0;1;1;1;0;1;1;1;0;1;1;0;
obj564-obj642;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;
obj568-obj579;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;1;0;
obj571-obj577;0;1;0;0;0;1;0;0;0;1;1;0;1;1;1;0;0;1;1;
obj572-obj669;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;0;1;
obj578-obj587;0;0;0;0;1;0;0;0;1;1;1;0;1;1;1;0;1;1;1;
obj579-obj658;0;1;0;0;0;1;0;1;0;1;1;0;0;1;0;0;1;0;1;
obj582-obj687;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;0;0;
obj590-obj597;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;1;1;
