;voter_id;voter_reg_num;name_prefix;first_name;middle_name;last_name;name_suffix;age;gender;race;ethnic;street_address;city;state;zip_code;full_phone_num;birth_place;register_date;download_month
obj3-obj71;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;0;1;0;1;
obj6-obj82;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;1;0;1;
obj16-obj118;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;
obj16-obj124;0;0;0;1;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;
obj18-obj58;0;1;0;0;0;0;1;1;1;1;1;0;0;1;0;0;1;0;1;
obj18-obj279;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;0;0;1;
obj19-obj28;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;1;0;1;
obj21-obj22;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;1;1;
obj28-obj82;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1;0;1;
obj28-obj210;0;0;0;0;1;0;0;1;1;1;1;0;0;1;0;0;1;0;0;
obj30-obj76;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;
obj43-obj61;0;0;0;0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;1;
obj43-obj82;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;1;
obj49-obj74;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;1;
obj58-obj192;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;1;
obj58-obj284;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;
obj69-obj73;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;1;1;
obj74-obj337;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;
obj76-obj136;0;1;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;1;
obj76-obj163;0;0;0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;1;
obj80-obj93;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;1;
obj86-obj87;0;1;0;0;0;1;0;0;0;1;1;0;1;1;1;1;1;1;1;
obj92-obj94;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;1;
obj94-obj118;0;0;0;0;0;0;0;1;1;1;1;0;1;1;0;0;1;0;1;
obj103-obj247;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;0;1;
obj103-obj350;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0;0;1;0;1;
obj104-obj284;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0;1;
obj113-obj446;0;0;0;1;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;
obj129-obj141;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;1;
obj132-obj133;1;1;0;1;0;1;0;1;1;1;1;0;1;1;1;0;1;1;0;
obj134-obj142;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;
obj143-obj166;0;0;0;0;1;0;0;1;0;1;1;0;1;1;0;0;0;0;1;
obj148-obj149;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;1;1;1;
obj149-obj198;0;1;0;0;0;0;0;0;1;0;1;0;1;1;1;0;1;0;1;
obj150-obj153;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;0;0;1;1;
obj154-obj436;0;1;0;1;0;0;0;1;1;1;1;0;0;1;0;0;1;0;1;
obj156-obj284;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;1;
obj158-obj244;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;
obj169-obj227;0;1;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;0;1;
obj172-obj211;0;1;0;0;0;1;0;0;1;1;1;0;1;1;1;0;1;0;1;
obj188-obj308;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;1;
obj189-obj410;0;1;0;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;1;
obj200-obj376;0;1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;0;1;
obj204-obj264;0;1;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;1;
obj204-obj332;0;1;0;0;1;0;0;0;1;1;1;0;1;1;1;0;1;0;1;
obj225-obj278;0;0;0;0;0;1;0;1;0;1;1;0;1;1;1;0;1;0;0;
obj239-obj262;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;
obj239-obj472;0;0;0;0;1;0;0;1;1;1;1;0;0;1;0;0;1;0;1;
obj240-obj417;0;0;0;0;1;0;0;0;1;1;1;0;1;1;1;0;0;0;0;
obj246-obj247;0;0;0;0;0;1;0;1;1;1;1;0;0;1;0;0;0;1;0;
obj246-obj249;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;0;
obj247-obj248;0;1;0;0;1;0;0;0;1;1;1;0;1;1;1;0;0;1;1;
obj247-obj249;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;1;
obj247-obj450;0;1;0;0;0;1;0;0;1;1;1;0;1;1;1;0;0;0;1;
obj264-obj267;0;1;0;1;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;
obj270-obj411;0;0;0;1;1;0;0;0;1;1;1;0;1;1;1;0;0;0;1;
obj284-obj290;0;1;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;1;
obj289-obj421;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;1;
obj308-obj309;0;0;0;1;0;1;0;0;1;1;1;0;1;1;0;0;1;1;0;
obj314-obj316;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;1;1;
obj316-obj328;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;1;0;
obj319-obj331;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;0;1;1;1;
obj329-obj336;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;1;1;
obj338-obj385;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;0;1;0;1;
obj340-obj486;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;1;1;0;1;
obj345-obj355;0;0;0;0;0;1;0;0;1;1;1;0;1;1;1;0;0;1;0;
obj348-obj361;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;1;1;
obj350-obj360;0;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;1;1;
obj355-obj356;0;1;0;0;0;1;0;0;1;1;1;0;1;1;1;0;1;1;1;
obj355-obj459;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;0;1;0;1;
obj365-obj400;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1;
obj367-obj377;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;1;0;
obj371-obj377;0;1;0;0;0;0;0;0;1;1;1;0;1;1;0;0;1;1;1;
obj371-obj390;0;1;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;1;
obj376-obj447;0;1;0;0;0;1;0;1;0;1;1;0;1;1;1;0;1;0;1;
obj378-obj485;0;0;0;1;0;0;0;0;1;1;1;0;1;1;0;0;1;0;0;
obj378-obj499;0;1;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;
obj380-obj384;0;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;1;0;0;
obj384-obj432;0;0;1;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;1;
obj384-obj494;0;0;1;0;0;0;0;1;1;1;1;0;0;1;0;0;1;0;1;
obj388-obj422;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;1;1;0;0;
obj388-obj464;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;1;1;0;1;
obj400-obj422;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;
obj400-obj464;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;1;1;0;
obj401-obj402;0;0;0;0;0;1;0;0;1;1;1;0;1;1;1;0;1;1;1;
obj401-obj499;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;0;1;0;0;
obj402-obj403;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0;1;1;1;
obj403-obj406;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;0;1;1;1;
obj403-obj414;0;0;0;0;0;0;0;1;1;1;1;0;1;1;0;0;0;1;1;
obj405-obj415;0;0;0;1;0;0;0;1;1;1;1;0;0;1;0;0;1;1;1;
obj410-obj415;0;1;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;1;1;
obj417-obj427;0;0;0;0;0;1;0;1;1;1;1;0;0;1;0;0;1;1;1;
obj417-obj456;0;0;0;1;0;1;0;0;1;1;1;0;0;1;0;0;0;1;0;
obj418-obj421;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;0;1;1;1;
obj418-obj464;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;1;1;0;
obj432-obj494;0;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;1;
obj434-obj439;0;1;0;0;0;0;0;1;0;1;1;0;1;1;1;0;1;1;1;
obj436-obj466;0;1;0;1;0;0;0;1;1;1;1;0;0;1;0;0;1;1;1;
obj437-obj441;0;1;0;0;0;0;1;0;1;1;1;0;0;1;0;0;1;1;1;
obj439-obj451;0;1;0;0;0;1;0;0;0;1;1;1;1;1;1;0;1;1;1;
obj441-obj469;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1;
obj443-obj453;0;1;0;1;0;0;0;1;1;1;1;0;0;1;0;0;0;1;1;
obj446-obj454;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;0;0;1;1;
